player_name,round,board,total_bet,action,amount,chips,cards,rank
07a9d752112c44fa2ac8afd45df9672a,0,[],3.0,1,0.0,126.0,"['3h', 'Js']",0.35595776772247356
07a9d752112c44fa2ac8afd45df9672a,1,"['6c', 'Qc', '5h']",4.0,4,1.0,126.0,"['3h', 'Js']",0.3038852913968548
07a9d752112c44fa2ac8afd45df9672a,2,"['6c', 'Qc', '5h', '9d']",7.0,3,0.0,125.0,"['3h', 'Js']",0.21304347826086956
2681838dcd80570cf9c1f512dcdb44d5,0,[],4.0,1,0.0,142.0,"['5c', 'As']",0.7918552036199095
2681838dcd80570cf9c1f512dcdb44d5,1,"['6c', 'Qc', '5h']",5.0,1,1.0,142.0,"['5c', 'As']",0.7187789084181314
2681838dcd80570cf9c1f512dcdb44d5,2,"['6c', 'Qc', '5h', '9d']",7.0,4,1.0,141.0,"['5c', 'As']",0.5922705314009662
537884fe8d0556df69a81eb00fe41da2,0,[],1.0,1,1.0,193.0,"['8c', 'Jc']",0.6515837104072398
537884fe8d0556df69a81eb00fe41da2,1,"['6c', 'Qc', '5h']",6.0,1,1.0,192.0,"['8c', 'Jc']",0.3371877890841813
537884fe8d0556df69a81eb00fe41da2,2,"['6c', 'Qc', '5h', '9d']",8.0,3,0.0,191.0,"['8c', 'Jc']",0.25169082125603864
fec84472bf0ad3ce267ad556c16097be,0,[],2.0,1,1.0,37.0,"['Kh', '8s']",0.7360482654600302
fec84472bf0ad3ce267ad556c16097be,1,"['6c', 'Qc', '5h']",7.0,3,0.0,36.0,"['Kh', '8s']",0.43709528214616095
